ruby-version,os,tag,arch
3.0.3,ubuntu 22.04,1.0,x86_64
3.0.3,ubuntu 24.04,1.0,x86_64
3.0.4,ubuntu 22.04,1.0,x86_64
3.0.4,ubuntu 24.04,1.0,x86_64
3.0.5,ubuntu 22.04,1.0,x86_64
3.0.5,ubuntu 24.04,1.0,x86_64
3.0.6,ubuntu 22.04,1.0,x86_64
3.0.6,ubuntu 24.04,1.0,x86_64
3.0.7,ubuntu 22.04,1.0,x86_64
3.0.7,ubuntu 24.04,1.0,x86_64
3.1.0,ubuntu 22.04,1.0,x86_64
3.1.0,ubuntu 24.04,1.0,x86_64
3.1.1,ubuntu 22.04,1.0,x86_64
3.1.1,ubuntu 24.04,1.0,x86_64
3.1.2,ubuntu 22.04,1.0,x86_64
3.1.2,ubuntu 24.04,1.0,x86_64
3.1.3,ubuntu 22.04,1.0,x86_64
3.1.3,ubuntu 24.04,1.0,x86_64
3.1.4,ubuntu 22.04,1.0,x86_64
3.1.4,ubuntu 24.04,1.0,x86_64
3.1.5,ubuntu 22.04,1.0,x86_64
3.1.5,ubuntu 24.04,1.0,x86_64
3.1.6,ubuntu 22.04,1.0,x86_64
3.1.6,ubuntu 24.04,1.0,x86_64
3.1.7,ubuntu 22.04,1.0,x86_64
3.1.7,ubuntu 24.04,1.0,x86_64
3.2.0,ubuntu 22.04,1.0,x86_64
3.2.0,ubuntu 24.04,1.0,x86_64
3.2.1,ubuntu 22.04,1.0,x86_64
3.2.1,ubuntu 24.04,1.0,x86_64
3.2.2,ubuntu 22.04,1.0,x86_64
3.2.2,ubuntu 24.04,1.0,x86_64
3.2.3,ubuntu 22.04,1.0,x86_64
3.2.3,ubuntu 24.04,1.0,x86_64
3.2.4,ubuntu 22.04,1.0,x86_64
3.2.4,ubuntu 24.04,1.0,x86_64
3.2.5,ubuntu 22.04,1.0,x86_64
3.2.5,ubuntu 24.04,1.0,x86_64
3.2.6,ubuntu 22.04,1.0,x86_64
3.2.6,ubuntu 24.04,1.0,x86_64
3.2.7,ubuntu 22.04,1.0,x86_64
3.2.7,ubuntu 24.04,1.0,x86_64
3.2.8,ubuntu 22.04,1.0,x86_64
3.2.8,ubuntu 24.04,1.0,x86_64
3.3.0,ubuntu 22.04,1.0,x86_64
3.3.0,ubuntu 24.04,1.0,x86_64
3.3.1,ubuntu 22.04,1.0,x86_64
3.3.1,ubuntu 24.04,1.0,x86_64
3.3.2,ubuntu 22.04,1.0,x86_64
3.3.2,ubuntu 24.04,1.0,x86_64
3.3.3,ubuntu 22.04,1.0,x86_64
3.3.3,ubuntu 24.04,1.0,x86_64
3.3.4,ubuntu 22.04,1.0,x86_64
3.3.4,ubuntu 24.04,1.0,x86_64
3.3.5,ubuntu 22.04,1.0,x86_64
3.3.5,ubuntu 24.04,1.0,x86_64
3.3.6,ubuntu 22.04,1.0,x86_64
3.3.6,ubuntu 24.04,1.0,x86_64
3.3.7,ubuntu 22.04,1.0,x86_64
3.3.7,ubuntu 24.04,1.0,x86_64
3.3.8,ubuntu 22.04,1.0,x86_64
3.3.8,ubuntu 24.04,1.0,x86_64
3.4.0,ubuntu 22.04,1.0,x86_64
3.4.0,ubuntu 24.04,1.0,x86_64
3.4.1,ubuntu 22.04,1.0,x86_64
3.4.1,ubuntu 24.04,1.0,x86_64
3.4.2,ubuntu 22.04,1.0,x86_64
3.4.2,ubuntu 24.04,1.0,x86_64
3.4.3,ubuntu 22.04,1.0,x86_64
3.4.3,ubuntu 24.04,1.0,x86_64
